일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명
1120,552204,552204,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5522,주점업,일반 유흥 주점업,1,56211,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5621,주점업,일반 유흥 주점업,4,2,"관광음식점, 외국인 전용 유흥음식점",일반 유흥주점업,56211,일반 유흥주점업
1121,552205,552205,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5522,주점업,생맥주 전문점,1,56213,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5621,주점업,생맥주 전문점,1,,,생맥주 전문점,56219,기타 주점업
1122,552206,552206,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5522,주점업,일반 유흥 주점업,1,56211,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5621,주점업,일반 유흥 주점업,4,2,기타 유흥 주점,일반 유흥주점업,56211,일반 유흥주점업
1123,552207,552207,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5522,주점업,기타 주점업,1,56219,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5621,주점업,기타 주점업,4,,단란주점,기타 주점업,56219,기타 주점업
1124,552208,552208,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5522,주점업,기타 주점업,1,56219,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5621,주점업,기타 주점업,4,,기타 서양식 주점,기타 주점업,56219,기타 주점업
1125,552209,552209,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5522,주점업,기타 주점업,1,56219,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5621,주점업,기타 주점업,4,1,,기타 주점업,56219,기타 주점업
1126,552205,552210,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5522,주점업,기타 주점업,1,56219,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5621,주점업,기타 주점업,4,,소주방,기타 주점업,56219,기타 주점업
1127,552301,552301,I,숙박 및 음식점업,55,음식점 및 주점업,552,음식점업,5523,기타 간이 음식점업,제과점업,1,56191,I,숙박 및 음식점업,56,음식점 및 주점업,561,음식점업,5619,기타 간이 음식점업,제과점업,1,,,제과점업,56191,제과점업
1128,552303,552303,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5523,비알코올 음료점업,커피 전문점,1,56221,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5622,비알코올 음료점업,커피 전문점,1,,,커피 전문점,56220,비알코올 음료점업
1129,552305,552305,I,숙박 및 음식점업,55,음식점 및 주점업,552,음식점업,5523,기타 간이 음식점업,간이 음식 포장 판매 전문점,1,56199,I,숙박 및 음식점업,56,음식점 및 주점업,561,음식점업,5619,기타 간이 음식점업,간이 음식 포장 판매 전문점,2,,고속도로 휴게소 등 기타,간이음식 포장 판매 전문점,56194,분식 및 김밥 전문점
1129,552305,552305,I,숙박 및 음식점업,55,음식점 및 주점업,552,음식점업,5523,기타 간이 음식점업,간이 음식 포장 판매 전문점,1,56199,I,숙박 및 음식점업,56,음식점 및 주점업,561,음식점업,5619,기타 간이 음식점업,간이 음식 포장 판매 전문점,2,,고속도로 휴게소 등 기타,  ,56199,그 외 기타 음식점업
1130,552303,552307,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5523,비알코올 음료점업,기타 비알코올 음료점업,1,56229,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5622,비알코올 음료점업,기타 비알코올 음료점업,1,,,기타 비알코올 음료점업,56132,이동 음식업
1130,552303,552307,I,숙박 및 음식점업,55,음식점 및 주점업,552,주점 및 비알코올 음료점업,5523,비알코올 음료점업,기타 비알코올 음료점업,1,56229,I,숙박 및 음식점업,56,음식점 및 주점업,562,주점 및 비알코올 음료점업,5622,비알코올 음료점업,기타 비알코올 음료점업,1,,,  ,56220,비알코올 음료점업
1131,552305,552308,I,숙박 및 음식점업,55,음식점 및 주점업,552,음식점업,5523,출장 및 이동 음식점업,이동 음식점업,1,56142,I,숙박 및 음식점업,56,음식점 및 주점업,561,음식점업,5614,출장 및 이동 음식점업,이동 음식점업,1,,,이동 음식점업,56132,이동 음식업
1132,552305,552309,I,숙박 및 음식점업,55,음식점 및 주점업,552,음식점업,5523,기타 간이 음식점업,"피자, 햄버거, 샌드위치 및 유사 음식점업",1,56192,I,숙박 및 음식점업,56,음식점 및 주점업,561,음식점업,5619,기타 간이 음식점업,"피자, 햄버거, 샌드위치 및 유사 음식점업",2,,간이 양식,"피자, 햄버거, 샌드위치 및 유사 음식점업",56192,"피자, 햄버거, 샌드위치 및 유사 음식점업"
1133,221100,221100,J,정보통신업,22,출판업,221,"서적, 잡지 및 기타 인쇄물 출판업",2211,서적 출판업,일반 서적 출판업,1,58113,J,정보통신업,58,출판업,581,"서적, 잡지 및 기타 인쇄물 출판업",5811,서적 출판업,일반 서적 출판업,1,,,일반 서적 출판업,58119,기타 서적 출판업
