일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명
476,312000,312001,C,제조업,31,전기장비 제조업,312,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3120,전기 공급 및 제어장치 제조업,"전기회로 개폐, 보호 장치 제조업",1,28121,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,"전기회로 개폐, 보호 장치 제조업",1,,,"전기회로 개폐, 보호장치 제조업",28121,"전기회로 개폐, 보호 및 접속 장치 제조업"
477,312000,312002,C,제조업,31,전기장비 제조업,312,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3120,전기 공급 및 제어장치 제조업,전기회로 접속장치 제조업,1,28122,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,전기회로 접속장치 제조업,1,,,전기회로 접속장치 제조업,28121,"전기회로 개폐, 보호 및 접속 장치 제조업"
478,313001,313001,C,제조업,31,전기장비 제조업,313,절연선 및 케이블 제조업,3130,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업,1,28302,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업,1,,,기타 절연선 및 케이블 제조업,28302,기타 절연선 및 케이블 제조업
479,313002,313002,C,제조업,31,전기장비 제조업,313,절연선 및 케이블 제조업,3130,절연선 및 케이블 제조업,절연 코드세트 및 기타 도체 제조업,1,28303,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,절연 코드세트 및 기타 도체 제조업,1,,,절연코드 세트 및 기타 도체 제조업,28303,절연코드 세트 및 기타 도체 제조업
480,313001,313003,C,제조업,31,전기장비 제조업,313,절연선 및 케이블 제조업,3130,절연선 및 케이블 제조업,광섬유 케이블 제조업,1,28301,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,광섬유 케이블 제조업,1,,,광섬유 케이블 제조업,28301,광섬유 케이블 제조업
481,314000,314000,C,제조업,31,전기장비 제조업,314,일차전지 및 축전지 제조업,3140,일차전지 및 축전지 제조업,축전지 제조업,1,28202,C,제조업,28,전기장비 제조업,282,일차전지 및 축전지 제조업,2820,일차전지 및 축전지 제조업,축전지 제조업,1,,,축전지 제조업,28202,축전지 제조업
482,314000,314001,C,제조업,31,전기장비 제조업,314,일차전지 및 축전지 제조업,3140,일차전지 및 축전지 제조업,일차전지 제조업,1,28201,C,제조업,28,전기장비 제조업,282,일차전지 및 축전지 제조업,2820,일차전지 및 축전지 제조업,일차전지 제조업,1,,,일차전지 제조업,28201,일차전지 제조업
483,315001,315001,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,조명장치 제조업,일반용 전기 조명장치 제조업,1,28422,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,일반용 전기 조명장치 제조업,1,,,일반용 전기 조명장치 제조업,28422,일반용 전기 조명장치 제조업
484,315002,315002,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,조명장치 제조업,전시 및 광고용 조명장치 제조업,1,28423,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,전시 및 광고용 조명장치 제조업,1,,,전시 및 광고용 조명장치 제조업,28423,전시 및 광고용 조명장치 제조업
485,315001,315003,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,전구 및 램프 제조업,전구 및 램프 제조업,1,28410,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2841,전구 및 램프 제조업,전구 및 램프 제조업,1,,,전구 및 램프 제조업,28410,전구 및 램프 제조업
486,315001,315005,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,조명장치 제조업,기타 조명장치 제조업,1,28429,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,기타 조명장치 제조업,1,,,기타 조명장치 제조업,28429,기타 조명장치 제조업
487,319001,319001,C,제조업,31,전기장비 제조업,319,전구 및 조명장치 제조업,3190,조명장치 제조업,운송장비용 조명장치 제조업,1,28421,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,운송장비용 조명장치 제조업,1,,,운송장비용 조명장치 제조업,28421,운송장비용 조명장치 제조업
488,319002,319002,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,그 외 기타 전기장비 제조업,1,28909,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,그 외 기타 전기장비 제조업,1,,,그 외 기타 전기장비 제조업,28909,그 외 기타 전기장비 제조업
489,319002,319003,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,전기 경보 및 신호장치 제조업,1,28901,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,전기 경보 및 신호장치 제조업,1,,,전기경보 및 신호장치 제조업,28901,전기경보 및 신호장치 제조업
490,319002,319004,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,전기용 탄소제품 및 절연제품 제조업,1,28902,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,전기용 탄소제품 및 절연제품 제조업,1,,,전기용 탄소제품 및 절연제품 제조업,28902,전기용 탄소제품 및 절연제품 제조업
491,319002,319005,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,교통 신호장치 제조업,1,28903,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,교통 신호장치 제조업,1,,,교통 신호장치 제조업,28903,교통 신호장치 제조업
492,321000,321000,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",기타 반도체 소자 제조업,1,26129,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",기타 반도체 소자 제조업,1,,,기타 반도체소자 제조업,26120,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
493,321001,321001,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,26299,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,,,그 외 기타 전자부품 제조업,26291,전자관 제조업
493,321001,321001,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,26299,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,,,  ,26296,전자접속카드 제조업
493,321001,321001,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,26299,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,,,  ,26299,그 외 기타 전자부품 제조업
493,321001,321001,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,26299,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,1,,,  ,73302,상업용 사진촬영업
494,321000,321002,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,전자집적회로 제조업,메모리용 전자집적회로 제조업,1,26111,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,메모리용 전자집적회로 제조업,1,,,메모리용 전자집적회로 제조업,26110,전자집적회로 제조업
495,321000,321003,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업,1,26112,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업,1,,,비메모리용 및 기타 전자집적회로 제조업,26110,전자집적회로 제조업
496,321000,321004,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",발광 다이오드 제조업,1,26121,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",발광 다이오드 제조업,1,,,발광 다이오드 제조업,26120,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
497,321001,321005,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,표시장치 제조업,액정 표시장치 제조업,1,26211,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,액정 표시장치 제조업,1,,,액정 표시장치 제조업,26211,액정 평판 디스플레이 제조업
498,321001,321006,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,표시장치 제조업,유기 발광 표시장치 제조업,1,26212,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,유기 발광 표시장치 제조업,1,,,유기발광 표시장치 제조업,26219,플라즈마 및 기타 평판 디스플레이 제조업
499,321001,321007,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,표시장치 제조업,기타 표시장치 제조업,1,26219,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,기타 표시장치 제조업,1,,,기타 표시장치 제조업,26219,플라즈마 및 기타 평판 디스플레이 제조업
500,321001,321008,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,인쇄회로기판용 적층판 제조업,1,26221,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,인쇄회로기판용 적층판 제조업,1,,,인쇄회로기판용 적층판 제조업,26221,인쇄회로기판 제조업
501,321001,321009,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,경성 인쇄회로기판 제조업,1,26222,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,경성 인쇄회로기판 제조업,1,,,경성 인쇄회로기판 제조업,26221,인쇄회로기판 제조업
502,321001,321011,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,연성 및 기타 인쇄회로기판 제조업,1,26223,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,연성 및 기타 인쇄회로기판 제조업,1,,,연성 및 기타 인쇄회로기판 제조업,26221,인쇄회로기판 제조업
503,321001,321012,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,전자 부품 실장기판 제조업,1,26224,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,전자 부품 실장기판 제조업,1,,,전자부품 실장기판 제조업,26222,전자부품 실장기판 제조업
504,321001,321013,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,전자 축전기 제조업,1,26291,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자 축전기 제조업,1,,,전자축전기 제조업,26292,전자축전기 제조업
505,321001,321014,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,전자 저항기 제조업,1,26292,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자 저항기 제조업,1,,,전자저항기 제조업,26293,전자저항기 제조업
506,321001,321015,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,전자카드 제조업,1,26293,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자카드 제조업,1,,,전자카드 제조업,26294,전자카드 제조업
507,321001,321016,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,전자 감지장치 제조업,1,26295,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자 감지장치 제조업,1,,,전자감지장치 제조업,26299,그 외 기타 전자부품 제조업
508,322002,322002,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",322,통신 및 방송장비 제조업,3220,유선 통신장비 제조업,유선 통신장비 제조업,1,26410,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2641,유선 통신장비 제조업,유선 통신장비 제조업,1,,,유선 통신장비 제조업,26410,유선 통신장비 제조업
509,322002,322003,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",322,통신 및 방송장비 제조업,3220,방송 및 무선 통신장비 제조업,방송장비 제조업,1,26421,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2642,방송 및 무선 통신장비 제조업,방송장비 제조업,1,,,방송장비 제조업,26421,방송장비 제조업
510,322002,322004,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",322,통신 및 방송장비 제조업,3220,방송 및 무선 통신장비 제조업,이동 전화기 제조업,1,26422,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2642,방송 및 무선 통신장비 제조업,이동 전화기 제조업,1,,,이동전화기 제조업,26422,이동전화기 제조업
511,322002,322005,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",322,통신 및 방송장비 제조업,3220,방송 및 무선 통신장비 제조업,기타 무선 통신장비 제조업,1,26429,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2642,방송 및 무선 통신장비 제조업,기타 무선 통신장비 제조업,1,,,기타 무선 통신장비 제조업,26429,기타 무선 통신장비 제조업
512,323001,323001,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",323,영상 및 음향 기기 제조업,3230,"텔레비전, 비디오 및 기타 영상 기기 제조업",비디오 및 기타 영상 기기 제조업,1,26519,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2651,"텔레비전, 비디오 및 기타 영상 기기 제조업",비디오 및 기타 영상 기기 제조업,1,,,비디오 및 기타 영상기기 제조업,26519,비디오 및 기타 영상기기 제조업
513,323001,323005,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",323,영상 및 음향 기기 제조업,3230,"텔레비전, 비디오 및 기타 영상 기기 제조업",텔레비전 제조업,1,26511,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2651,"텔레비전, 비디오 및 기타 영상 기기 제조업",텔레비전 제조업,1,,,텔레비전 제조업,26511,텔레비전 제조업
514,323001,323006,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",323,영상 및 음향 기기 제조업,3230,"오디오, 스피커 및 기타 음향 기기 제조업","라디오, 녹음 및 재생 기기 제조업",1,26521,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2652,"오디오, 스피커 및 기타 음향 기기 제조업","라디오, 녹음 및 재생 기기 제조업",1,,,"라디오, 녹음 및 재생 기기 제조업",26521,"라디오, 녹음 및 재생 기기 제조업"
515,323001,323007,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",323,영상 및 음향 기기 제조업,3230,"오디오, 스피커 및 기타 음향 기기 제조업",기타 음향기기 제조업,1,26529,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2652,"오디오, 스피커 및 기타 음향 기기 제조업",기타 음향기기 제조업,1,,,기타 음향기기 제조업,26529,기타 음향기기 제조업
516,331100,331100,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,방사선 장치 및 전기식 진단 기기 제조업,전기식 진단 및 요법 기기 제조업,1,27112,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2711,방사선 장치 및 전기식 진단 기기 제조업,전기식 진단 및 요법 기기 제조업,1,,,전기식 진단 및 요법 기기 제조업,27112,전기식 진단 및 요법 기기 제조업
517,331101,331101,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,1,27192,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,2,,치과기공소,정형외과용 및 신체 보정용 기기 제조업,27192,정형외과용 및 신체 보정용 기기 제조업
517,331101,331101,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,1,27192,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,2,,치과기공소,  ,27329,기타 광학기기 제조업
518,331102,331102,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업,1,27199,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업,1,,,그 외 기타 의료용 기기 제조업,27199,그 외 기타 의료용 기기 제조업
519,331100,331103,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,방사선 장치 및 전기식 진단 기기 제조업,방사선 장치 제조업,1,27111,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2711,방사선 장치 및 전기식 진단 기기 제조업,방사선 장치 제조업,1,,,방사선 장치 제조업,27111,방사선 장치 제조업
520,331102,331104,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,기타 의료용 기기 제조업,치과용 기기 제조업,1,27191,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,치과용 기기 제조업,1,,,치과용 기기 제조업,27191,치과용 기기 제조업
521,331102,331105,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,1,27192,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,2,1,,정형외과용 및 신체 보정용 기기 제조업,27192,정형외과용 및 신체 보정용 기기 제조업
521,331102,331105,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,1,27192,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,2,1,,  ,27329,기타 광학기기 제조업
522,331102,331106,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,의료용 기기 제조업,3311,기타 의료용 기기 제조업,의료용 가구 제조업,1,27194,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,의료용 가구 제조업,1,,,의료용 가구 제조업,27193,의료용 가구 제조업
523,331201,331201,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",3312,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","물질 검사, 측정 및 분석 기구 제조업",1,27213,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","물질 검사, 측정 및 분석 기구 제조업",1,,,"물질 검사, 측정 및 분석기구 제조업",27213,"물질 검사, 측정 및 분석기구 제조업"
524,331201,331203,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",3312,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","레이더, 항행용 무선 기기 및 측량 기구 제조업",1,27211,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","레이더, 항행용 무선 기기 및 측량 기구 제조업",1,,,"레이더, 항행용 무선기기 및 측량기구 제조업",27211,항행용 무선기기 및 측량기구 제조업
525,331201,331204,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",3312,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","전자기 측정, 시험 및 분석 기구 제조업",1,27212,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","전자기 측정, 시험 및 분석 기구 제조업",1,,,"전자기 측정, 시험 및 분석기구 제조업",27212,"전자기 측정, 시험 및 분석기구 제조업"
526,331201,331205,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",3312,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",속도계 및 적산계기 제조업,1,27214,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",속도계 및 적산계기 제조업,1,,,속도계 및 적산계기 제조업,27214,속도계 및 적산계기 제조업
527,331201,331206,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",3312,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",기기용 자동 측정 및 제어장치 제조업,1,27215,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",기기용 자동 측정 및 제어장치 제조업,1,,,기기용 자동측정 및 제어장치 제조업,27215,기기용 자동측정 및 제어장치 제조업
528,331201,331207,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",3312,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",1,27219,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",1,,,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
529,331300,331300,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",331,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",3313,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",산업 처리공정 제어장비 제조업,1,27216,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",산업 처리공정 제어장비 제조업,1,,,산업처리공정 제어장비 제조업,27216,산업처리공정 제어장비 제조업
530,332000,332000,C,제조업,33,"의료, 정밀, 광학 기기 및 시계 제조업",332,의료용 기기 제조업,3320,기타 의료용 기기 제조업,안경 및 안경렌즈 제조업,1,27193,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,안경 및 안경렌즈 제조업,2,1,,안경 및 안경렌즈 제조업,27310,안경제조업
