,일련번호,2018년 귀속(현행)업종코드,2019년 귀속(개편후)업종코드,국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,국세청_세분류코드,국세청_세분류,국세청_세세분류,국세청_연계,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC10_세분류코드,KSIC10_세분류,KSIC10_세세분류,KSIC10_연계,메인,세부설명,KSIC10_항목명,KSIC9_코드,KSIC9_항목명,KSIC_CODE,산업명
25,22.0,14300.0,14303.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,143.0,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업",1.0,1412.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,141.0,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업",1,,,"농산물 건조, 선별 및 기타 수확 후 서비스업",1412.0,"농산물 건조, 선별 및 기타 수확 후 서비스업",A01,농림어업
26,23.0,15000.0,15000.0,A,"농업, 임업 및 어업",1.0,농업,15.0,수렵 및 관련 서비스업,150.0,수렵 및 관련 서비스업,수렵 및 관련 서비스업,1.0,1500.0,A,"농업, 임업 및 어업",1.0,농업,15.0,수렵 및 관련 서비스업,150.0,수렵 및 관련 서비스업,수렵 및 관련 서비스업,1,,,수렵 및 관련 서비스업,1500.0,수렵 및 관련 서비스업,A01,농림어업
27,24.0,20100.0,20100.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,201.0,영림업,임업용 종묘 생산업,1.0,2011.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,201.0,영림업,임업용 종묘 생산업,1,,,임업용 종묘 생산업,2011.0,임업용 종묘 생산업,A02,농림어업
28,25.0,20100.0,20101.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,201.0,영림업,육림업,1.0,2012.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,201.0,영림업,육림업,1,,,육림업,2012.0,육림업,A02,농림어업
29,26.0,20100.0,20102.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,201.0,임산물 채취업,임산물 채취업,1.0,2030.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,203.0,임산물 채취업,임산물 채취업,1,,,임산물 채취업,2030.0,임산물 채취업,A02,농림어업
30,27.0,20200.0,20200.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,202.0,벌목업,벌목업,1.0,2020.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,202.0,벌목업,벌목업,1,,,벌목업,2020.0,벌목업,A02,농림어업
31,28.0,20300.0,20300.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,203.0,임업 관련 서비스업,임업 관련 서비스업,1.0,2040.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,204.0,임업 관련 서비스업,임업 관련 서비스업,1,,,임업 관련 서비스업,2040.0,임업 관련 서비스업,A02,농림어업
32,29.0,51102.0,51102.0,A,"농업, 임업 및 어업",5.0,어업,51.0,어로 어업,511.0,해수면 어업,연근해 어업,1.0,3112.0,A,"농업, 임업 및 어업",3.0,어업,31.0,어로 어업,311.0,해수면 어업,연근해 어업,1,,,연근해 어업,3112.0,연근해 어업,A03,농림어업
33,30.0,51104.0,51104.0,A,"농업, 임업 및 어업",5.0,어업,51.0,어로 어업,511.0,해수면 어업,원양 어업,1.0,3111.0,A,"농업, 임업 및 어업",3.0,어업,31.0,어로 어업,311.0,해수면 어업,원양 어업,1,,,원양 어업,3111.0,원양 어업,A03,농림어업
34,31.0,51200.0,51200.0,A,"농업, 임업 및 어업",5.0,어업,51.0,어로 어업,512.0,내수면 어업,내수면 어업,1.0,3120.0,A,"농업, 임업 및 어업",3.0,어업,31.0,어로 어업,312.0,내수면 어업,내수면 어업,1,,,내수면 어업,3120.0,내수면 어업,A03,농림어업
35,32.0,52101.0,52101.0,A,"농업, 임업 및 어업",5.0,어업,52.0,양식어업 및 어업관련 서비스업,521.0,양식 어업,해수면 양식 어업,1.0,3211.0,A,"농업, 임업 및 어업",3.0,어업,32.0,양식어업 및 어업관련 서비스업,321.0,양식 어업,해수면 양식 어업,1,,,해수면 양식 어업,3211.0,해면 양식 어업,A03,농림어업
36,33.0,52103.0,52103.0,A,"농업, 임업 및 어업",5.0,어업,52.0,양식어업 및 어업관련 서비스업,521.0,양식 어업,내수면 양식 어업,1.0,3212.0,A,"농업, 임업 및 어업",3.0,어업,32.0,양식어업 및 어업관련 서비스업,321.0,양식 어업,내수면 양식 어업,1,,,내수면 양식 어업,3212.0,내수면 양식 어업,A03,농림어업
37,34.0,52104.0,52104.0,A,"농업, 임업 및 어업",5.0,어업,52.0,양식어업 및 어업관련 서비스업,521.0,양식 어업,수산물 부화 및 수산 종자 생산업,1.0,3213.0,A,"농업, 임업 및 어업",3.0,어업,32.0,양식어업 및 어업관련 서비스업,321.0,양식 어업,수산물 부화 및 수산 종자 생산업,1,,,수산물 부화 및 수산종자 생산업,3213.0,수산물 부화 및 종묘 생산업,A03,농림어업
38,35.0,52200.0,52200.0,A,"농업, 임업 및 어업",5.0,어업,52.0,양식어업 및 어업관련 서비스업,522.0,어업 관련 서비스업,어업 관련 서비스업,1.0,3220.0,A,"농업, 임업 및 어업",3.0,어업,32.0,양식어업 및 어업관련 서비스업,322.0,어업 관련 서비스업,어업 관련 서비스업,1,,,어업 관련 서비스업,3220.0,어업 관련 서비스업,A03,농림어업
